framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.007150,131.465347,ok
omp_off,v2,117500000,0.008059,233.278845,ok
omp_off,v4,117500000,0.008276,340.744909,ok
cuda,v1,117500000,0.007062,133.111971,ok
cuda,v2,117500000,0.007690,244.472102,ok
cuda,v4,117500000,0.007806,361.261124,ok
acc,v1,117500000,0.007059,133.161502,ok
acc,v2,117500000,0.008366,224.716202,ok
acc,v4,117500000,0.008235,342.441728,ok
omp_off,v1,217500000,0.013429,129.568742,ok
omp_off,v2,217500000,0.014329,242.864857,ok
omp_off,v4,217500000,0.014213,367.273361,ok
cuda,v1,217500000,0.013061,133.225732,ok
cuda,v2,217500000,0.013686,254.278659,ok
cuda,v4,217500000,0.013665,381.997162,ok
acc,v1,217500000,0.013060,133.230292,ok
acc,v2,217500000,0.014162,245.726901,ok
acc,v4,217500000,0.014510,359.753970,ok
omp_off,v1,318750000,0.019617,129.988760,ok
omp_off,v2,318750000,0.020340,250.737884,ok
omp_off,v4,318750000,0.020311,376.641025,ok
cuda,v1,318750000,0.019134,133.269106,ok
cuda,v2,318750000,0.019744,258.301807,ok
cuda,v4,318750000,0.019845,385.493278,ok
acc,v1,318750000,0.019135,133.263665,ok
acc,v2,318750000,0.020230,252.100157,ok
acc,v4,318750000,0.020570,371.900108,ok
omp_off,v1,418750000,0.025492,131.414020,ok
omp_off,v2,418750000,0.026382,253.961328,ok
omp_off,v4,418750000,0.026305,382.053758,ok
cuda,v1,418750000,0.025135,133.280096,ok
cuda,v2,418750000,0.025762,260.076358,ok
cuda,v4,418750000,0.025971,386.963377,ok
acc,v1,418750000,0.025135,133.280073,ok
acc,v2,418750000,0.026278,254.965947,ok
acc,v4,418750000,0.026648,377.138366,ok
omp_off,v1,520000000,0.031541,131.892364,ok
omp_off,v2,520000000,0.032495,256.039219,ok
omp_off,v4,520000000,0.032358,385.685968,ok
cuda,v1,520000000,0.031210,133.289224,ok
cuda,v2,520000000,0.031897,260.841360,ok
cuda,v4,520000000,0.031895,391.286526,ok
acc,v1,520000000,0.031210,133.290844,ok
acc,v2,520000000,0.032372,257.012250,ok
acc,v4,520000000,0.032630,382.467715,ok
omp_off,v1,1240000000,0.075199,131.916425,ok
omp_off,v2,1240000000,0.076453,259.505940,ok
omp_off,v4,1240000000,0.075912,392.032887,ok
cuda,v1,1240000000,0.074880,132.478135,ok
cuda,v2,1240000000,0.075769,261.847387,ok
cuda,v4,1240000000,0.075636,393.465563,ok
acc,v1,1240000000,0.074880,132.478836,ok
acc,v2,1240000000,0.076316,259.972106,ok
acc,v4,1240000000,0.075572,393.796572,ok
omp_off,v4_4,58750000,0.009866,571.660292,ok
cuda,v4_4,58750000,0.004335,1301.175835,ok
acc,v4_4,58750000,0.005885,958.387334,ok
omp_off,v4_4,108750000,0.020232,516.015199,ok
cuda,v4_4,108750000,0.007297,1430.802995,ok
acc,v4_4,108750000,0.009247,1129.006929,ok
omp_off,v4_4,159375000,0.030300,504.952129,ok
cuda,v4_4,159375000,0.010390,1472.529245,ok
acc,v4_4,159375000,0.013096,1168.308535,ok
omp_off,v4_4,209375000,0.032020,627.730863,ok
cuda,v4_4,209375000,0.013441,1495.422222,ok
acc,v4_4,209375000,0.016421,1224.036449,ok
omp_off,v4_4,260000000,0.040226,620.494475,ok
cuda,v4_4,260000000,0.016443,1517.958618,ok
acc,v4_4,260000000,0.020007,1247.569896,ok
omp_off,v4_4,310000000,0.067839,438.686312,ok
cuda,v4_4,310000000,0.019433,1531.441403,ok
acc,v4_4,310000000,0.023532,1264.665522,ok
