framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.024553,38.284805,ok
omp_off,v2,117500000,0.026662,70.512676,ok
omp_off,v4,117500000,0.030822,91.492975,ok
hip,v1,117500000,0.024593,38.222080,ok
hip,v2,117500000,0.092636,20.294514,ok
hip,v4,117500000,0.038066,74.082032,ok
omp_off,v1,217500000,0.045420,38.308972,ok
omp_off,v2,217500000,0.048908,71.154010,ok
omp_off,v4,217500000,0.055923,93.342657,ok
hip,v1,217500000,0.045314,38.398667,ok
hip,v2,217500000,0.057180,60.860518,ok
hip,v4,217500000,0.063632,82.034182,ok
omp_off,v1,318750000,0.066663,38.252088,ok
omp_off,v2,318750000,0.071837,70.994107,ok
omp_off,v4,318750000,0.081448,93.925143,ok
hip,v1,318750000,0.066502,38.344657,ok
hip,v2,318750000,0.079396,64.234966,ok
hip,v4,318750000,0.089036,85.920314,ok
omp_off,v1,418750000,0.087597,38.243365,ok
omp_off,v2,418750000,0.094418,70.961009,ok
omp_off,v4,418750000,0.107011,93.915509,ok
hip,v1,418750000,0.087420,38.320756,ok
hip,v2,418750000,0.101895,65.754056,ok
hip,v4,418750000,0.114418,87.835807,ok
omp_off,v1,520000000,0.108873,38.209696,ok
omp_off,v2,520000000,0.117177,71.003689,ok
omp_off,v4,520000000,0.132375,94.277619,ok
hip,v1,520000000,0.108575,38.314492,ok
hip,v2,520000000,0.124669,66.736806,ok
hip,v4,520000000,0.139641,89.372003,ok
omp_off,v1,1240000000,0.259591,38.213980,ok
omp_off,v2,1240000000,0.279593,70.960291,ok
omp_off,v4,1240000000,0.314686,94.570443,ok
hip,v1,1240000000,0.259099,38.286523,ok
hip,v2,1240000000,0.286775,69.183130,ok
hip,v4,1240000000,0.321921,92.445009,ok
omp_off,v4_4,58750000,0.050409,111.884608,ok
hip,v4_4,58750000,0.068652,82.153572,ok
omp_off,v4_4,108750000,0.091811,113.711937,ok
hip,v4_4,108750000,0.119874,87.091446,ok
omp_off,v4_4,159375000,0.134050,114.136405,ok
hip,v4_4,159375000,0.171826,89.043627,ok
omp_off,v4_4,209375000,0.175762,114.359231,ok
hip,v4_4,209375000,0.224287,89.617307,ok
omp_off,v4_4,260000000,0.217538,114.738638,ok
hip,v4_4,260000000,0.275627,90.557200,ok
omp_off,v4_4,310000000,0.260649,114.176551,ok
hip,v4_4,310000000,0.326403,91.175660,ok
