framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.010058,93.456415,ok
omp_off,v2,117500000,0.010282,182.847340,ok
omp_off,v4,117500000,0.010276,274.423732,ok
cuda,v1,117500000,0.010033,93.691827,ok
cuda,v2,117500000,0.011220,167.558256,ok
cuda,v4,117500000,0.011507,245.067489,ok
acc,v1,117500000,0.010006,93.944095,ok
acc,v2,117500000,0.010951,171.673159,ok
acc,v4,117500000,0.011116,253.693183,ok
omp_off,v1,217500000,0.018576,93.668519,ok
omp_off,v2,217500000,0.018855,184.565499,ok
omp_off,v4,217500000,0.019544,267.087941,ok
cuda,v1,217500000,0.018569,93.704599,ok
cuda,v2,217500000,0.033757,103.089089,ok
cuda,v4,217500000,0.020497,254.670376,ok
acc,v1,217500000,0.018533,93.886624,ok
acc,v2,217500000,0.019570,177.822179,ok
acc,v4,217500000,0.020675,252.476612,ok
omp_off,v1,318750000,0.027209,93.718840,ok
omp_off,v2,318750000,0.027541,185.178985,ok
omp_off,v4,318750000,0.028408,269.289862,ok
cuda,v1,318750000,0.027138,93.964201,ok
cuda,v2,318750000,0.028533,178.740519,ok
cuda,v4,318750000,0.029943,255.485513,ok
acc,v1,318750000,0.027127,94.002190,ok
acc,v2,318750000,0.028187,180.934239,ok
acc,v4,318750000,0.029652,257.991683,ok
omp_off,v1,418750000,0.035691,93.861137,ok
omp_off,v2,418750000,0.036158,185.297424,ok
omp_off,v4,418750000,0.037787,265.964762,ok
cuda,v1,418750000,0.035640,93.995507,ok
cuda,v2,418750000,0.037074,180.719208,ok
cuda,v4,418750000,0.039138,256.783172,ok
acc,v1,418750000,0.035654,93.958423,ok
acc,v2,418750000,0.036815,181.990213,ok
acc,v4,418750000,0.038725,259.521350,ok
omp_off,v1,520000000,0.044357,93.784895,ok
omp_off,v2,520000000,0.044781,185.793208,ok
omp_off,v4,520000000,0.047015,265.447470,ok
cuda,v1,520000000,0.044255,94.000639,ok
cuda,v2,520000000,0.045831,181.536653,ok
cuda,v4,520000000,0.048395,257.877044,ok
acc,v1,520000000,0.044306,93.892391,ok
acc,v2,520000000,0.045438,183.106444,ok
acc,v4,520000000,0.048385,257.931684,ok
omp_off,v1,1240000000,0.106212,93.398197,ok
omp_off,v2,1240000000,0.107154,185.153851,ok
omp_off,v4,1240000000,0.112256,265.108205,ok
cuda,v1,1240000000,0.106173,93.432383,ok
cuda,v2,1240000000,0.108108,183.520109,ok
cuda,v4,1240000000,0.112716,264.026497,ok
acc,v1,1240000000,0.106150,93.452739,ok
acc,v2,1240000000,0.108072,183.581244,ok
acc,v4,1240000000,0.114727,259.398891,ok
omp_off,v4_4,58750000,0.021224,265.736627,ok
cuda,v4_4,58750000,0.006860,822.155304,ok
acc,v4_4,58750000,0.006571,858.340877,ok
omp_off,v4_4,108750000,0.022078,472.868121,ok
cuda,v4_4,108750000,0.014101,740.371530,ok
acc,v4_4,108750000,0.011789,885.565024,ok
omp_off,v4_4,159375000,0.027712,552.105264,ok
cuda,v4_4,159375000,0.026153,585.016967,ok
acc,v4_4,159375000,0.022108,692.054732,ok
omp_off,v4_4,209375000,0.036210,555.098011,ok
cuda,v4_4,209375000,0.027006,744.274935,ok
acc,v4_4,209375000,0.024483,820.978979,ok
omp_off,v4_4,260000000,0.044854,556.473031,ok
cuda,v4_4,260000000,0.033067,754.831375,ok
acc,v4_4,260000000,0.030309,823.518803,ok
omp_off,v4_4,310000000,0.079554,374.085146,ok
cuda,v4_4,310000000,0.037992,783.322793,ok
acc,v4_4,310000000,0.038001,783.136039,ok
