framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.010119,92.894910,ok
omp_off,v2,117500000,0.010232,183.737802,ok
omp_off,v4,117500000,0.010255,274.991567,ok
cuda,v1,117500000,0.010061,93.429839,ok
cuda,v2,117500000,0.011216,167.618807,ok
cuda,v4,117500000,0.011251,250.644994,ok
acc,v1,117500000,0.010008,93.926190,ok
acc,v2,117500000,0.010995,170.988193,ok
acc,v4,117500000,0.011021,255.877497,ok
omp_off,v1,217500000,0.018603,93.532866,ok
omp_off,v2,217500000,0.018873,184.390631,ok
omp_off,v4,217500000,0.018799,277.673361,ok
cuda,v1,217500000,0.018529,93.907161,ok
cuda,v2,217500000,0.019783,175.908430,ok
cuda,v4,217500000,0.022662,230.342310,ok
acc,v1,217500000,0.018532,93.891456,ok
acc,v2,217500000,0.019497,178.487569,ok
acc,v4,217500000,0.019414,268.878849,ok
omp_off,v1,318750000,0.027200,93.750057,ok
omp_off,v2,318750000,0.027506,185.413329,ok
omp_off,v4,318750000,0.028150,271.757649,ok
cuda,v1,318750000,0.027137,93.967503,ok
cuda,v2,318750000,0.028507,178.903463,ok
cuda,v4,318750000,0.030243,252.951766,ok
acc,v1,318750000,0.027137,93.967503,ok
acc,v2,318750000,0.028208,180.799662,ok
acc,v4,318750000,0.029604,258.411391,ok
omp_off,v1,418750000,0.035723,93.776569,ok
omp_off,v2,418750000,0.036075,185.723593,ok
omp_off,v4,418750000,0.037990,264.542652,ok
cuda,v1,418750000,0.036041,92.949641,ok
cuda,v2,418750000,0.037030,180.933302,ok
cuda,v4,418750000,0.039035,257.460713,ok
acc,v1,418750000,0.035640,93.995507,ok
acc,v2,418750000,0.036806,182.036190,ok
acc,v4,418750000,0.039089,257.105813,ok
omp_off,v1,520000000,0.044311,93.881782,ok
omp_off,v2,520000000,0.044861,185.462422,ok
omp_off,v4,520000000,0.046793,266.706650,ok
cuda,v1,520000000,0.044306,93.892896,ok
cuda,v2,520000000,0.045759,181.822304,ok
cuda,v4,520000000,0.048312,258.321188,ok
acc,v1,520000000,0.044254,94.002665,ok
acc,v2,520000000,0.045490,182.897234,ok
acc,v4,520000000,0.047939,260.331794,ok
omp_off,v1,1240000000,0.106209,93.400713,ok
omp_off,v2,1240000000,0.107081,185.280412,ok
omp_off,v4,1240000000,0.114426,260.080442,ok
cuda,v1,1240000000,0.106170,93.435111,ok
cuda,v2,1240000000,0.108088,183.554113,ok
cuda,v4,1240000000,0.112942,263.497568,ok
acc,v1,1240000000,0.106173,93.432383,ok
acc,v2,1240000000,0.110728,179.177764,ok
acc,v4,1240000000,0.115189,258.357834,ok
omp_off,v4_4,58750000,0.021711,259.774821,ok
cuda,v4_4,58750000,0.006746,836.044339,ok
acc,v4_4,58750000,0.006532,863.416109,ok
omp_off,v4_4,108750000,0.019753,528.527867,ok
cuda,v4_4,108750000,0.011344,920.313866,ok
acc,v4_4,108750000,0.011776,886.533188,ok
omp_off,v4_4,159375000,0.027710,552.143267,ok
cuda,v4_4,159375000,0.019876,769.772464,ok
acc,v4_4,159375000,0.019561,782.176042,ok
omp_off,v4_4,209375000,0.036325,553.334627,ok
cuda,v4_4,209375000,0.026232,766.239586,ok
acc,v4_4,209375000,0.028272,710.952938,ok
omp_off,v4_4,260000000,0.045019,554.430728,ok
cuda,v4_4,260000000,0.033272,750.179701,ok
acc,v4_4,260000000,0.030169,827.339043,ok
omp_off,v4_4,310000000,0.056826,523.705079,ok
cuda,v4_4,310000000,0.038732,768.355886,ok
acc,v4_4,310000000,0.041654,714.455309,ok
